,index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,Courier Status,Qty,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by,Order_Year,Order_Month,Order_Quarter,Order_Day,quarter,season
0,49051,408-4858463-2356347,2021-10-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0385,J0385-KR-M,kurta,M,Shipped,1,888.0,RAJAHMUNDRY,ANDHRA PRADESH,533126,IN,False,Easy Ship,2021,10,4,5,Q4,Autumn
1,49077,402-7697834-2682766,2021-10-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3654,JNE3654-TP-XXL,Top,XXL,Shipped,1,371.0,CHENNAI,TAMIL NADU,600042,IN,False,Easy Ship,2021,10,4,5,Q4,Autumn
2,49081,402-7031777-0396341,2021-10-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3798,JNE3798-KR-XS,Western Dress,XS,Shipped,1,771.0,NEDUMANGAD,KERALA,695541,IN,False,Easy Ship,2021,10,4,5,Q4,Autumn
3,49082,408-1235521-4337163,2021-10-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0152,J0152-DR-L,Western Dress,L,Shipped,1,0.0,LEH,JAMMU & KASHMIR,194101,IN,False,Easy Ship,2021,10,4,5,Q4,Autumn
4,49083,403-3845187-4421165,2021-10-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0157,J0157-DR-XL,Western Dress,XL,Shipped,1,690.0,PIMPRI CHINCHWAD,MAHARASHTRA,411027,IN,False,Easy Ship,2021,10,4,5,Q4,Autumn
5,49086,171-1835528-9515557,2021-10-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0341,J0341-DR-L,Western Dress,L,Shipped,1,885.0,ANAKAPALLE,ANDHRA PRADESH,531001,IN,False,Easy Ship,2021,10,4,5,Q4,Autumn
6,49090,407-3443436-4510708,2021-10-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3800,JNE3800-KR-M,Western Dress,M,Shipped,1,771.0,PIMPRI CHINCHWAD,MAHARASHTRA,411033,IN,False,Easy Ship,2021,10,4,5,Q4,Autumn
7,49092,408-0730692-6026747,2021-10-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET398,SET398-KR-PP-XXXL,Set,3XL,Shipped,1,1186.0,Ernakulam District,KERALA,683515,IN,False,Easy Ship,2021,10,4,5,Q4,Autumn
8,49093,407-3165269-1194731,2021-10-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3869,JNE3869-DR-M,Western Dress,M,Shipped,1,721.0,MUMBAI,MAHARASHTRA,400072,IN,False,Easy Ship,2021,10,4,5,Q4,Autumn
9,49100,171-2320443-6127563,2021-10-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3800,JNE3800-KR-A-L,Western Dress,L,Shipped,1,771.0,ALAPPUZHA,KERALA,688013,IN,False,Easy Ship,2021,10,4,5,Q4,Autumn
